id,gender,race,age,path
000001,female,Asian,45,000001_female_Asian_45
000002,female,Asian,52,000002_female_Asian_52
000004,male,Asian,54,000004_male_Asian_54
000005,female,Asian,58,000005_female_Asian_58
000006,female,Asian,59,000006_female_Asian_59
000007,female,Asian,58,000007_female_Asian_58
000008,female,Asian,58,000008_female_Asian_58
000009,female,Asian,56,000009_female_Asian_56
000010,female,Asian,58,000010_female_Asian_58
000012,male,Asian,57,000012_male_Asian_57
000014,female,Asian,58,000014_female_Asian_58
000015,male,Asian,55,000015_male_Asian_55
000016,female,Asian,58,000016_female_Asian_58
000018,female,Asian,59,000018_female_Asian_59
000019,female,Asian,57,000019_female_Asian_57
000020,female,Asian,50,000020_female_Asian_50
000021,female,Asian,54,000021_female_Asian_54
000022,female,Asian,58,000022_female_Asian_58
000023,female,Asian,55,000023_female_Asian_55
000024,female,Asian,58,000024_female_Asian_58
000025,female,Asian,49,000025_female_Asian_49
000026,female,Asian,56,000026_female_Asian_56
000028,female,Asian,58,000028_female_Asian_58
000029,female,Asian,58,000029_female_Asian_58
000030,female,Asian,55,000030_female_Asian_55
000031,female,Asian,54,000031_female_Asian_54
000033,male,Asian,57,000033_male_Asian_57
000034,female,Asian,55,000034_female_Asian_55
000036,female,Asian,58,000036_female_Asian_58
000037,female,Asian,58,000037_female_Asian_58
000038,female,Asian,58,000038_female_Asian_58
000039,female,Asian,57,000039_female_Asian_57
000040,female,Asian,57,000040_female_Asian_57
000041,female,Asian,58,000041_female_Asian_58
000043,male,Asian,56,000043_male_Asian_56
000044,female,Asian,58,000044_female_Asian_58
000045,female,Asian,56,000045_female_Asian_56
000046,male,Asian,55,000046_male_Asian_55
000047,male,Asian,58,000047_male_Asian_58
000048,female,Asian,57,000048_female_Asian_57
000062,female,Asian,55,000062_female_Asian_55
000064,male,Asian,59,000064_male_Asian_59
000066,female,Asian,53,000066_female_Asian_53
000067,female,Asian,54,000067_female_Asian_54
000069,female,Asian,54,000069_female_Asian_54
000070,female,Asian,58,000070_female_Asian_58
000071,female,Asian,56,000071_female_Asian_56
000073,female,Asian,52,000073_female_Asian_52
000075,female,Asian,56,000075_female_Asian_56
000077,male,Asian,59,000077_male_Asian_59
000078,female,Asian,55,000078_female_Asian_55
000079,female,Asian,57,000079_female_Asian_57
000080,female,Asian,57,000080_female_Asian_57
000206,female,Asian,57,000206_female_Asian_57
000207,female,Asian,56,000207_female_Asian_56
000209,female,Asian,56,000209_female_Asian_56
000210,female,Asian,54,000210_female_Asian_54
000212,female,Asian,51,000212_female_Asian_51
000214,female,Asian,51,000214_female_Asian_51
000215,female,Asian,59,000215_female_Asian_59
000216,female,Asian,56,000216_female_Asian_56
000217,female,Asian,54,000217_female_Asian_54
000218,female,Asian,59,000218_female_Asian_59
000219,female,Asian,53,000219_female_Asian_53
000221,female,Asian,40,000221_female_Asian_40
000224,female,Asian,56,000224_female_Asian_56
000225,female,Asian,25,000225_female_Asian_25
000226,female,Asian,58,000226_female_Asian_58
000227,female,Asian,59,000227_female_Asian_59
000228,female,Asian,56,000228_female_Asian_56
000229,male,Asian,56,000229_male_Asian_56
000231,male,Asian,56,000231_male_Asian_56
000232,male,Asian,53,000232_male_Asian_53
000235,male,Asian,57,000235_male_Asian_57
000236,male,Asian,51,000236_male_Asian_51
000237,male,Asian,56,000237_male_Asian_56
000238,male,Asian,57,000238_male_Asian_57
000240,male,Asian,57,000240_male_Asian_57
000241,male,Asian,56,000241_male_Asian_56
000242,male,Asian,56,000242_male_Asian_56
000243,female,Asian,58,000243_female_Asian_58
000244,female,Asian,56,000244_female_Asian_56
000245,male,Asian,58,000245_male_Asian_58
000248,female,Asian,54,000248_female_Asian_54
000249,male,Asian,53,000249_male_Asian_53
000255,female,Asian,59,000255_female_Asian_59
000256,female,Asian,58,000256_female_Asian_58
000260,female,Asian,58,000260_female_Asian_58
000261,female,Asian,58,000261_female_Asian_58
000262,male,Asian,56,000262_male_Asian_56
000263,female,Asian,48,000263_female_Asian_48
000264,female,Asian,51,000264_female_Asian_51
000265,female,Asian,58,000265_female_Asian_58
000266,female,Asian,58,000266_female_Asian_58
000267,male,Asian,58,000267_male_Asian_58
000268,male,Asian,59,000268_male_Asian_59
000269,male,Asian,56,000269_male_Asian_56
000270,female,Asian,49,000270_female_Asian_49
000272,female,Asian,52,000272_female_Asian_52
000273,female,Asian,56,000273_female_Asian_56
000274,female,Asian,54,000274_female_Asian_54
000275,female,Asian,54,000275_female_Asian_54
000276,female,Asian,58,000276_female_Asian_58
000277,female,Asian,54,000277_female_Asian_54
000278,female,Asian,54,000278_female_Asian_54
000279,female,Asian,54,000279_female_Asian_54
000280,female,Asian,54,000280_female_Asian_54
000282,female,Asian,59,000282_female_Asian_59
000283,female,Asian,57,000283_female_Asian_57
000285,female,Asian,54,000285_female_Asian_54
000286,female,Asian,51,000286_female_Asian_51
000288,female,Asian,51,000288_female_Asian_51
000292,female,Asian,57,000292_female_Asian_57
000293,female,Asian,57,000293_female_Asian_57
000294,female,Asian,53,000294_female_Asian_53
000295,female,Asian,56,000295_female_Asian_56
000296,female,Asian,57,000296_female_Asian_57
000297,female,Asian,53,000297_female_Asian_53
000299,female,Asian,57,000299_female_Asian_57
000301,female,Asian,55,000301_female_Asian_55
000302,female,Asian,56,000302_female_Asian_56
000304,female,Asian,51,000304_female_Asian_51
000309,male,Asian,29,000309_male_Asian_29
000311,female,Asian,58,000311_female_Asian_58
000312,female,Asian,57,000312_female_Asian_57
000313,female,Asian,54,000313_female_Asian_54
000334,female,Asian,52,000334_female_Asian_52
000336,female,Asian,56,000336_female_Asian_56
000344,female,Asian,57,000344_female_Asian_57
000348,male,Asian,58,000348_male_Asian_58
000356,female,Asian,58,000356_female_Asian_58
000357,female,Asian,55,000357_female_Asian_55
000376,female,Asian,59,000376_female_Asian_59
000378,female,Asian,55,000378_female_Asian_55
000381,female,Asian,59,000381_female_Asian_59
000498,female,Asian,56,000498_female_Asian_56
000499,female,Asian,58,000499_female_Asian_58
000511,female,Asian,55,000511_female_Asian_55
000512,female,Asian,55,000512_female_Asian_55
000513,female,Asian,58,000513_female_Asian_58
000514,female,Asian,59,000514_female_Asian_59
000515,female,Asian,50,000515_female_Asian_50
000516,female,Asian,52,000516_female_Asian_52
000517,female,Asian,58,000517_female_Asian_58
000518,female,Asian,55,000518_female_Asian_55
000519,female,Asian,56,000519_female_Asian_56
000520,female,Asian,59,000520_female_Asian_59
000522,female,Asian,51,000522_female_Asian_51
000523,female,Asian,51,000523_female_Asian_51
000525,female,Asian,53,000525_female_Asian_53
000526,female,Asian,59,000526_female_Asian_59
000527,female,Asian,58,000527_female_Asian_58
000528,female,Asian,51,000528_female_Asian_51
000529,female,Asian,51,000529_female_Asian_51
000531,female,Asian,56,000531_female_Asian_56
000532,female,Asian,57,000532_female_Asian_57
000533,female,Asian,54,000533_female_Asian_54
000534,female,Asian,50,000534_female_Asian_50
000535,female,Asian,50,000535_female_Asian_50
000536,female,Asian,51,000536_female_Asian_51
000538,male,Asian,54,000538_male_Asian_54
000539,female,Asian,54,000539_female_Asian_54
000541,female,Asian,35,000541_female_Asian_35
000542,female,Asian,58,000542_female_Asian_58
000543,male,Asian,35,000543_male_Asian_35
000545,female,Asian,58,000545_female_Asian_58
000546,female,Asian,52,000546_female_Asian_52
000547,female,Asian,55,000547_female_Asian_55
000548,female,Asian,53,000548_female_Asian_53
000549,female,Asian,58,000549_female_Asian_58
000550,male,Asian,56,000550_male_Asian_56
000552,female,Asian,56,000552_female_Asian_56
000553,female,Asian,58,000553_female_Asian_58
000554,female,Asian,54,000554_female_Asian_54
000556,male,Asian,57,000556_male_Asian_57
000557,female,Asian,57,000557_female_Asian_57
000558,female,Asian,58,000558_female_Asian_58
000559,female,Asian,59,000559_female_Asian_59
000560,female,Asian,55,000560_female_Asian_55
000561,female,Asian,52,000561_female_Asian_52
000562,female,Asian,58,000562_female_Asian_58
000563,female,Asian,58,000563_female_Asian_58
000564,female,Asian,57,000564_female_Asian_57
000565,female,Asian,35,000565_female_Asian_35
000566,male,Asian,58,000566_male_Asian_58
000567,female,Asian,51,000567_female_Asian_51
000568,female,Asian,54,000568_female_Asian_54
000570,female,Asian,54,000570_female_Asian_54
000571,male,Asian,51,000571_male_Asian_51
000572,female,Asian,57,000572_female_Asian_57
000573,female,Asian,50,000573_female_Asian_50
000574,female,Asian,56,000574_female_Asian_56
000575,male,Asian,55,000575_male_Asian_55
000576,female,Asian,56,000576_female_Asian_56
000577,female,Asian,57,000577_female_Asian_57
000588,female,Asian,58,000588_female_Asian_58
000589,female,Asian,56,000589_female_Asian_56
000590,male,Asian,52,000590_male_Asian_52
000591,female,Asian,55,000591_female_Asian_55
000592,female,Asian,57,000592_female_Asian_57
000593,female,Asian,58,000593_female_Asian_58
000594,female,Asian,57,000594_female_Asian_57
000595,male,Asian,56,000595_male_Asian_56
000596,female,Asian,55,000596_female_Asian_55
000597,male,Asian,57,000597_male_Asian_57
000598,female,Asian,54,000598_female_Asian_54
000600,female,Asian,52,000600_female_Asian_52
000600-1,female,Asian,54,000600-1_female_Asian_54
000601,female,Asian,53,000601_female_Asian_53
000602,female,Asian,50,000602_female_Asian_50
000605,male,Asian,57,000605_male_Asian_57
000606,female,Asian,58,000606_female_Asian_58
000607,female,Asian,53,000607_female_Asian_53
000609,male,Asian,57,000609_male_Asian_57
000610,female,Asian,52,000610_female_Asian_52
000611,male,Asian,51,000611_male_Asian_51
000613,male,Asian,51,000613_male_Asian_51
000614,female,Asian,56,000614_female_Asian_56
000615,male,Asian,56,000615_male_Asian_56
000616,female,Asian,57,000616_female_Asian_57
000618,male,Asian,37,000618_male_Asian_37
000619,female,Asian,56,000619_female_Asian_56
000620,female,Asian,51,000620_female_Asian_51
000621,female,Asian,57,000621_female_Asian_57
000622,male,Asian,56,000622_male_Asian_56
000623,female,Asian,57,000623_female_Asian_57
000625,male,Asian,57,000625_male_Asian_57
000626,female,Asian,57,000626_female_Asian_57
000628,male,Asian,51,000628_male_Asian_51
000629,female,Asian,58,000629_female_Asian_58
000630,female,Asian,55,000630_female_Asian_55
000631,female,Asian,57,000631_female_Asian_57
000632,female,Asian,54,000632_female_Asian_54
000633,female,Asian,59,000633_female_Asian_59
000635,female,Asian,58,000635_female_Asian_58
000636,female,Asian,51,000636_female_Asian_51
000637,female,Asian,50,000637_female_Asian_50
000639,female,Asian,54,000639_female_Asian_54
000640,female,Asian,57,000640_female_Asian_57
000641,female,Asian,57,000641_female_Asian_57
000642,female,Asian,54,000642_female_Asian_54
